row_num,nsn,mil_spec,nomenclature,tech_docs,solicitation,status,purchase_request,qty,issued,return_by
237,7510-01-553-3457,,"TAPE, PRESSURE SENSI",None,SPE8EN-26-T-2671,Open,7017574050,4,07-23-2026,08-03-2026
238,7050-01-518-9110,,COMPUTER SUBASSEMBL,None,SPE8EN-26-T-2672,Open,7017574102,1,07-23-2026,08-03-2026
239,7025-01-665-5383,,"OPTICAL READER, DATA",None,SPE8EN-26-T-2673,Open,7017574090,5,07-23-2026,08-03-2026
240,7025-01-728-9463,,DISPLAY UNIT,Tech Docs,SPE8EN-26-T-2674,Open,7017585760,3,07-23-2026,08-03-2026
241,7025-01-521-7483,,"KEYBOARD, DATA ENTRY",None,SPE8EN-26-T-2675,Open,7017585451,1,07-23-2026,08-03-2026
242,7025-01-696-2984,,DISK DRIVE UNIT,None,SPE8EN-26-T-2676,Open,7017585624,38,07-23-2026,08-03-2026
243,7025-01-586-9193,,"INTERFACE UNIT, AUTO",None,SPE8EN-26-T-2677,Open,7017034081,205,07-23-2026,08-03-2026
244,7025-01-642-4538,,"INTERFACE UNIT, AUTO",None,SPE8EN-26-T-2678,Open,7017585785,2,07-23-2026,08-03-2026
245,8010-00-141-7840,Mil-Spec,"COATING COMPOUND, NO",Tech Docs,SPE8ES-26-T-2409,Open,7017585532,5,07-23-2026,07-28-2026
246,8010-00-297-0549,Mil-Spec,ENAMEL,Tech Docs,SPE8ES-26-T-2411,Open,7017586086,8,07-23-2026,07-28-2026
247,8010-00-926-4727,Mil-Spec,"REMOVER, PAINT",Tech Docs,SPE8ES-26-T-2412,Open,7017585056,3,07-23-2026,07-28-2026
248,8010-01-380-3282,Mil-Spec,POLYURETHANE COATING,Tech Docs \*Spec/Stnd Only,SPE8ES-26-T-2414,Open,7017585958,2,07-23-2026,07-28-2026
252,8010-00-664-7651,Mil-Spec,LACQUER,Tech Docs \*Spec/Stnd Only,SPE8ES-26-T-2420,Open,7017586063,39,07-23-2026,07-28-2026
